kelurahan,kecamatan
Andir,Andir
Campaka,Andir
Ciroyom,Andir
Dunguscariang,Andir
Garuda,Andir
Kebonjeruk,Andir
Maleber,Andir
Antapani,Antapani
Antapani Kidul,Antapani
Antapani Kulon,Antapani
Antapani Tengah,Antapani
Antapani Wetan,Antapani
Arcamanik,Arcamanik
Cisaranten Endah,Arcamanik
Cisaranten Kulon,Arcamanik
Cisaranten Bina Harapan,Arcamanik
Sukamiskin,Arcamanik
Astanaanyar,Astana Anyar
Cibadak,Astana Anyar
Karanganyar,Astana Anyar
Karasak,Astana Anyar
Nyengseret,Astana Anyar
Panjunan,Astana Anyar
Pelindunghewan,Astana Anyar
Babakanciparay,Babakan Ciparay
Babakan,Babakan Ciparay
Babakanciparay,Babakan Ciparay
Cirangrang,Babakan Ciparay
Margahayu Utara,Babakan Ciparay
Margasuka,Babakan Ciparay
Sukahaji,Babakan Ciparay
Bandung Kidul,Bandung Kidul
Batununggal,Bandung Kidul
Kujangsari,Bandung Kidul
Mengger,Bandung Kidul
Wates,Bandung Kidul
Bandung Kulon,Bandung Kulon
Caringin,Bandung Kulon
Cibuntu,Bandung Kulon
Cigondewah Kaler,Bandung Kulon
Cigondewah Kidul,Bandung Kulon
Cigondewah Rahayu,Bandung Kulon
Cijerah,Bandung Kulon
Gempolsari,Bandung Kulon
Warungmuncang,Bandung Kulon
Bandung Wetan,Bandung Wetan
Cihapit,Bandung Wetan
Citarum,Bandung Wetan
Tamansari,Bandung Wetan
Batununggal,Batununggal
Binong,Batununggal
Cibangkong,Batununggal
Gumuruh,Batununggal
Kacapiring,Batununggal
Kebongedang,Batununggal
Kebonwaru,Batununggal
Maleer,Batununggal
Samoja,Batununggal
Bojongloa Kaler,Bojongloa Kaler
Babakan Asih,Bojongloa Kaler
Babakan Tarogong,Bojongloa Kaler
Jamika,Bojongloa Kaler
Kopo,Bojongloa Kaler
Suka Asih,Bojongloa Kaler
Bojongloa Kidul,Bojongloa Kidul
Cibaduyut,Bojongloa Kidul
Cibaduyut Kidul,Bojongloa Kidul
Cibaduyut Wetan,Bojongloa Kidul
Kebon Lega,Bojongloa Kidul
Mekarwangi,Bojongloa Kidul
Situsaeur,Bojongloa Kidul
Buahbatu,Buah Batu
Cijawura,Buah Batu
Jatisari,Buah Batu
Margasari,Buah Batu
Sekejati,Buah Batu
Cibeunying Kaler,Cibeunying Kaler
Cigadung,Cibeunying Kaler
Cihaurgeulis,Cibeunying Kaler
Neglasari,Cibeunying Kaler
Sukaluyu,Cibeunying Kaler
Cibeunying Kidul,Cibeunying Kidul
Cicadas,Cibeunying Kidul
Cikutra,Cibeunying Kidul
Padasuka,Cibeunying Kidul
Pasirlayung,Cibeunying Kidul
Sukamaju,Cibeunying Kidul
Sukapada,Cibeunying Kidul
Cibiru,Cibiru
Cipadung,Cibiru
Cisurupan,Cibiru
Palasari,Cibiru
Pasirbiru,Cibiru
Cicendo,Cicendo
Arjuna,Cicendo
Husen Sastranegara,Cicendo
Pajajaran,Cicendo
Pamoyanan,Cicendo
Pasirkaliki,Cicendo
Sukaraja,Cicendo
Cidadap,Cidadap
Ciumbuleuit,Cidadap
Hegarmanah,Cidadap
Ledeng,Cidadap
Cinambo,Cinambo
Babakan Penghulu,Cinambo
Cisaranten Wetan,Cinambo
Pakemitan,Cinambo
Sukamulya,Cinambo
Coblong,Coblong
Cipaganti,Coblong
Dago,Coblong
Lebakgede,Coblong
Lebaksiliwangi,Coblong
Sadangserang,Coblong
Sekeloa,Coblong
Gedebage,Gedebage
Cimincrang,Gedebage
Cisaranten Kidul,Gedebage
Rancabolang,Gedebage
Rancanumpang,Gedebage
Kiaracondong,Kiaracondong
Babakansari,Kiaracondong
Babakansurabaya,Kiaracondong
Cicaheum,Kiaracondong
Kebonkangkung,Kiaracondong
Kebunjayanti,Kiaracondong
Sukapura,Kiaracondong
Lengkong,Lengkong
Burangrang,Lengkong
Cijagra,Lengkong
Cikawao,Lengkong
Lingkar Selatan,Lengkong
Malabar,Lengkong
Paledang,Lengkong
Turangga,Lengkong
Mandalajati,Mandalajati
Jatihandap,Mandalajati
Karangpamulang,Mandalajati
Pasir Impun,Mandalajati
Sindangjaya,Mandalajati
Panyileukan,Panyileukan
Cipadung Kidul,Panyileukan
Cipadung Kulon,Panyileukan
Cipadung Wetan,Panyileukan
Mekarmulya,Panyileukan
Rancasari,Rancasari
Cipamokolan,Rancasari
Darwati,Rancasari
Manjahlega,Rancasari
Mekarmulya,Rancasari
Regol,Regol
Ancol,Regol
Balonggede,Regol
Ciateul,Regol
Cigereleng,Regol
Ciseureuh,Regol
Pasirluyu,Regol
Pungkur,Regol
Sukajadi,Sukajadi
Cipedes,Sukajadi
Pasteur,Sukajadi
Sukabungah,Sukajadi
Sukagalih,Sukajadi
Sukawarna,Sukajadi
Sukasari,Sukasari
Gegerkalong,Sukasari
Isola,Sukasari
Sarijadi,Sukasari
Sukarasa,Sukasari
Sumurbandung,Sumur Bandung
Babakanciamis,Sumur Bandung
Braga,Sumur Bandung
Kebonpisang,Sumur Bandung
Merdeka,Sumur Bandung
Ujungberung,Ujungberung
Cigending,Ujungberung
Pasanggrahan,Ujungberung
Pasirendah,Ujungberung
Pasirjati,Ujungberung
Pasirwangi,Ujungberung
